time_h;gal;glc;mic
0.0;0.020631666666666666;0.017387222222222224;0.0015
0.0352011287032216;0.020525037324460968;0.017248491901483743;0.0015239928762854104
0.3872124157354376;0.01936912686630518;0.015770010977018408;0.0017815894809696973
1.0696731432672186;0.016632391429240216;0.01246106385741163;0.0023726625363934104
1.7274601105940182;0.013377960462202125;0.008899325391812055;0.0030388892452560172
2.279478148492813;0.010313509814794517;0.005952286286305706;0.0036262634837058542
2.708667932773075;0.007906911277937337;0.003947072739571748;0.004057172032685159
3.0638815046865626;0.006048383924851653;0.002608375354767094;0.004369331246801238
3.3791789848855935;0.004593657291547094;0.001704715807061384;0.0045995040319483675
3.6944764650846245;0.003376378313308399;0.0010591065300118827;0.004781246710215856
3.988809536485541;0.0024690469038607912;0.0006528363147439081;0.004909350406991323
4.274246430189892;0.0017882485279558007;0.0003964676077681505;0.005000709130595044
4.560980727083643;0.0012745814220088763;0.0002348842567303173;0.005066511203805821
4.856344225381795;0.000889206759478604;0.00013462245688245896;0.00511381916081808
5.166554891431873;0.0006039636355956538;7.403036895945935e-05;0.005147497264775999
5.497440610126463;0.00039713262821754197;3.872026504951405e-05;0.005171070059163523
5.854854066923322;0.00025123682581696923;1.9078638470053752e-05;0.005187180708260273
6.244970752427228;0.00015185409169663026;8.761468414913683e-06;0.0051978542663375805
6.674604897504039;8.698966906467628e-05;3.703959178760725e-06;0.005204655941040494
7.151678810348411;4.677351198201384e-05;1.4204425666008306e-06;0.005208789288514664
7.685982706932027;2.331829105341405e-05;4.85183766246845e-07;0.005211161019458819
8.0;1.548332854158742e-05;2.57628835025062e-07;0.0052119449342682925
