ID,Activity
PFK,1
PFL,1
PGI,3
PGK,2
PGL,0
ACALD,2
AKGt2r,0
PGM,2
PIt2r,1
ALCD2x,2
ACALDt,0
ACKr,2
PPC,1
ACONTa,1
ACONTb,1
ATPM,1
PPCK,0
ACt2r,2
PPS,0
ADK1,0
AKGDH,0
ATPS4r,2
PTAr,1
PYK,1
BIOMASS_Ecoli_core_w_GAM,1
PYRt2,0
CO2t,1
RPE,2
CS,1
RPI,2
SUCCt2_2,0
CYTBD,0
D_LACt2,0
ENO,1
SUCCt3,0
ETOHt2r,2
SUCDi,0
SUCOAS,0
TALA,2
THD2,1
TKT1,2
TKT2,2
TPI,1
EX_ac_e,1
EX_acald_e,0
EX_akg_e,0
EX_co2_e,2
EX_etoh_e,1
EX_for_e,1
EX_fru_e,5
EX_fum_e,0
EX_glc__D_e,5
EX_gln__L_e,0
EX_glu__L_e,0
EX_h_e,1
EX_h2o_e,2
EX_lac__D_e,0
EX_mal__L_e,0
EX_nh4_e,2
EX_o2_e,0
EX_pi_e,2
EX_pyr_e,0
EX_succ_e,0
FBA,1
FBP,0
FORt2,0
FORt,2
FRD7,0
FRUpts2,4
FUM,0
FUMt2_2,0
G6PDH2r,0
GAPD,1
GLCpts,4
GLNS,1
GLNabc,0
GLUDy,2
GLUN,0
GLUSy,0
GLUt2r,0
GND,0
H2Ot,1
ICDHyr,1
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,0
ME1,0
ME2,0
NADH16,0
NADTRHD,0
NH4t,1
O2t,0
PDH,0
